component_id,lot_id,test_step,aging_time_hours,delta_capacitance_pct,delta_esr_pct,capacitance_uf,esr_ohms,stress_voltage_v,static_spec_fail,drift_velocity_c,drift_velocity_esr,component_ever_fails,first_failure_step
C1,LOT_10V_EOS,0,0.0,0.0,0.0,2200.0,0.045,10.0,0,0.0,0.0,0,-1
C1,LOT_10V_EOS,1,24.0,0.45,8.967,2190.1,0.04904,10.0,0,0.01875,0.37363,0,-1
C1,LOT_10V_EOS,2,47.0,1.243,16.89,2172.654,0.0526,10.0,0,0.03448,0.34448,0,-1
C1,LOT_10V_EOS,3,71.0,1.595,24.675,2164.91,0.0561,10.0,0,0.01467,0.32438,0,-1
C1,LOT_10V_EOS,4,94.0,2.954,29.86,2135.012,0.05844,10.0,0,0.05909,0.22543,0,-1
C1,LOT_10V_EOS,5,116.0,4.96,35.59,2090.88,0.06102,10.0,0,0.09118,0.26045,0,-1
C1,LOT_10V_EOS,6,139.0,7.234,40.15,2040.852,0.06307,10.0,0,0.09887,0.19826,0,-1
C1,LOT_10V_EOS,7,149.0,9.65,43.96,1987.7,0.06478,10.0,0,0.2416,0.381,0,-1
C1,LOT_10V_EOS,8,161.0,11.96,51.63,1936.88,0.06823,10.0,0,0.1925,0.63917,0,-1
C1,LOT_10V_EOS,9,171.0,15.854,52.6,1851.212,0.06867,10.0,0,0.3894,0.097,0,-1
C1,LOT_10V_EOS,10,194.0,17.45,53.54,1816.1,0.06909,10.0,0,0.06939,0.04087,0,-1
C2,LOT_10V_EOS,0,0.0,0.0,0.0,2200.0,0.045,10.0,0,0.0,0.0,1,10
C2,LOT_10V_EOS,1,24.0,0.784,9.267,2182.752,0.04917,10.0,0,0.03267,0.38612,1,10
C2,LOT_10V_EOS,2,47.0,1.687,17.459,2162.886,0.05286,10.0,0,0.03926,0.35617,1,10
C2,LOT_10V_EOS,3,71.0,2.34,24.78,2148.52,0.05615,10.0,0,0.02721,0.30504,1,10
C2,LOT_10V_EOS,4,94.0,3.86,30.5,2115.08,0.05872,10.0,0,0.06609,0.2487,1,10
C2,LOT_10V_EOS,5,116.0,6.23,32.567,2062.94,0.05966,10.0,0,0.10773,0.09395,1,10
C2,LOT_10V_EOS,6,139.0,9.435,37.157,1992.43,0.06172,10.0,0,0.13935,0.19957,1,10
C2,LOT_10V_EOS,7,149.0,11.89,40.895,1938.42,0.0634,10.0,0,0.2455,0.3738,1,10
C2,LOT_10V_EOS,8,161.0,14.96,47.987,1870.88,0.06659,10.0,0,0.25583,0.591,1,10
C2,LOT_10V_EOS,9,171.0,19.642,49.68,1767.876,0.06736,10.0,0,0.4682,0.1693,1,10
C2,LOT_10V_EOS,10,194.0,21.68,51.04,1723.04,0.06797,10.0,1,0.08861,0.05913,1,10
