component_id,lot_id,burnin_hours,leakage_current_ua,iddq_ma,propagation_delay_ns,chamber_temp_c,static_spec_fail,archetype,true_latent_defect,leakage_0h,leakage_24h,leakage_96h,leakage_168h
IC_A_001,LOT_A_2026,0.0,9.707,1.4569,8.412,125.0,0,HEALTHY_STABLE,0,9.707,9.614,10.274,10.499
IC_A_001,LOT_A_2026,24.0,9.614,1.4607,8.374,125.0,0,HEALTHY_STABLE,0,9.707,9.614,10.274,10.499
IC_A_001,LOT_A_2026,96.0,10.274,1.4997,8.478,125.0,0,HEALTHY_STABLE,0,9.707,9.614,10.274,10.499
IC_A_001,LOT_A_2026,168.0,10.499,1.5057,8.575,125.0,0,HEALTHY_STABLE,0,9.707,9.614,10.274,10.499
IC_A_002,LOT_A_2026,0.0,39.349,2.6171,8.228,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,39.349,38.613,41.456,47.268
IC_A_002,LOT_A_2026,24.0,38.613,2.6508,8.59,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,39.349,38.613,41.456,47.268
IC_A_002,LOT_A_2026,96.0,41.456,2.7857,9.206,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,39.349,38.613,41.456,47.268
IC_A_002,LOT_A_2026,168.0,47.268,2.955,9.84,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,39.349,38.613,41.456,47.268
IC_A_003,LOT_A_2026,0.0,9.85,1.493,8.283,125.0,0,HEALTHY_STABLE,0,9.85,10.029,10.684,11.23
IC_A_003,LOT_A_2026,24.0,10.029,1.4837,8.289,125.0,0,HEALTHY_STABLE,0,9.85,10.029,10.684,11.23
IC_A_003,LOT_A_2026,96.0,10.684,1.5199,8.422,125.0,0,HEALTHY_STABLE,0,9.85,10.029,10.684,11.23
IC_A_003,LOT_A_2026,168.0,11.23,1.5432,8.461,125.0,0,HEALTHY_STABLE,0,9.85,10.029,10.684,11.23
IC_A_004,LOT_A_2026,0.0,9.679,1.4614,8.464,125.0,0,HEALTHY_STABLE,0,9.679,9.715,10.316,10.662
IC_A_004,LOT_A_2026,24.0,9.715,1.4786,8.562,125.0,0,HEALTHY_STABLE,0,9.679,9.715,10.316,10.662
IC_A_004,LOT_A_2026,96.0,10.316,1.5021,8.604,125.0,0,HEALTHY_STABLE,0,9.679,9.715,10.316,10.662
IC_A_004,LOT_A_2026,168.0,10.662,1.5173,8.712,125.0,0,HEALTHY_STABLE,0,9.679,9.715,10.316,10.662
IC_A_005,LOT_A_2026,0.0,37.422,2.5455,8.345,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,37.422,41.724,44.118,47.912
IC_A_005,LOT_A_2026,24.0,41.724,2.552,8.573,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,37.422,41.724,44.118,47.912
IC_A_005,LOT_A_2026,96.0,44.118,2.7196,9.295,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,37.422,41.724,44.118,47.912
IC_A_005,LOT_A_2026,168.0,47.912,2.8863,10.109,125.0,0,LATENT_DEFECT_LOT_OUTLIER,1,37.422,41.724,44.118,47.912
IC_A_006,LOT_A_2026,0.0,10.011,1.3926,8.382,125.0,0,ACCELERATING_DRIFT,1,10.011,12.065,18.114,25.154
IC_A_006,LOT_A_2026,24.0,12.065,1.518,8.716,125.0,0,ACCELERATING_DRIFT,1,10.011,12.065,18.114,25.154
IC_A_006,LOT_A_2026,96.0,18.114,1.7975,9.79,125.0,0,ACCELERATING_DRIFT,1,10.011,12.065,18.114,25.154
IC_A_006,LOT_A_2026,168.0,25.154,2.0907,10.907,125.0,0,ACCELERATING_DRIFT,1,10.011,12.065,18.114,25.154
IC_A_007,LOT_A_2026,0.0,9.372,1.4954,8.368,125.0,0,HEALTHY_STABLE,0,9.372,9.782,10.199,10.545
IC_A_007,LOT_A_2026,24.0,9.782,1.509,8.402,125.0,0,HEALTHY_STABLE,0,9.372,9.782,10.199,10.545
IC_A_007,LOT_A_2026,96.0,10.199,1.5397,8.486,125.0,0,HEALTHY_STABLE,0,9.372,9.782,10.199,10.545
IC_A_007,LOT_A_2026,168.0,10.545,1.5523,8.576,125.0,0,HEALTHY_STABLE,0,9.372,9.782,10.199,10.545
