cost_ratio_fn_to_fp,c_fn,c_fp,method,fn_count,fp_count,total_expected_cost,cost_per_component,cost_savings_vs_traditional,cost_savings_pct,is_superior_to_traditional
0.1,0.1,1.0,Traditional (MIL-PRF-62F 20%),5,0,0.5,0.0833,0.0,0.0,False
0.1,0.1,1.0,Dynamic Statistical (MAD/Maha),2,1,1.2,0.2,-0.7,-140.0,False
0.1,0.1,1.0,AI/ML Anomaly (One-Class SVM),1,1,1.1,0.1833,-0.6,-120.0,False
0.1,0.1,1.0,AI/ML Anomaly (Isolation Forest),5,0,0.5,0.0833,0.0,0.0,False
0.1,0.1,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,-0.5,-100.0,False
0.1,0.1,1.0,Risk Fusion Engine (Multi-Tier),2,1,1.2,0.2,-0.7,-140.0,False
0.1,0.1,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,-0.5,-100.0,False
0.2,0.2,1.0,Traditional (MIL-PRF-62F 20%),5,0,1.0,0.1667,0.0,0.0,False
0.2,0.2,1.0,Dynamic Statistical (MAD/Maha),2,1,1.4,0.2333,-0.4,-40.0,False
0.2,0.2,1.0,AI/ML Anomaly (One-Class SVM),1,1,1.2,0.2,-0.2,-20.0,False
0.2,0.2,1.0,AI/ML Anomaly (Isolation Forest),5,0,1.0,0.1667,0.0,0.0,False
0.2,0.2,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,0.0,0.0,False
0.2,0.2,1.0,Risk Fusion Engine (Multi-Tier),2,1,1.4,0.2333,-0.4,-40.0,False
0.2,0.2,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,0.0,0.0,False
0.25,0.25,1.0,Traditional (MIL-PRF-62F 20%),5,0,1.25,0.2083,0.0,0.0,False
0.25,0.25,1.0,Dynamic Statistical (MAD/Maha),2,1,1.5,0.25,-0.25,-20.0,False
0.25,0.25,1.0,AI/ML Anomaly (One-Class SVM),1,1,1.25,0.2083,0.0,0.0,False
0.25,0.25,1.0,AI/ML Anomaly (Isolation Forest),5,0,1.25,0.2083,0.0,0.0,False
0.25,0.25,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,0.25,20.0,True
0.25,0.25,1.0,Risk Fusion Engine (Multi-Tier),2,1,1.5,0.25,-0.25,-20.0,False
0.25,0.25,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,0.25,20.0,True
0.5,0.5,1.0,Traditional (MIL-PRF-62F 20%),5,0,2.5,0.4167,0.0,0.0,False
0.5,0.5,1.0,Dynamic Statistical (MAD/Maha),2,1,2.0,0.3333,0.5,20.0,True
0.5,0.5,1.0,AI/ML Anomaly (One-Class SVM),1,1,1.5,0.25,1.0,40.0,True
0.5,0.5,1.0,AI/ML Anomaly (Isolation Forest),5,0,2.5,0.4167,0.0,0.0,False
0.5,0.5,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,1.5,60.0,True
0.5,0.5,1.0,Risk Fusion Engine (Multi-Tier),2,1,2.0,0.3333,0.5,20.0,True
0.5,0.5,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,1.5,60.0,True
1.0,1.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,5.0,0.8333,0.0,0.0,False
1.0,1.0,1.0,Dynamic Statistical (MAD/Maha),2,1,3.0,0.5,2.0,40.0,True
1.0,1.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,2.0,0.3333,3.0,60.0,True
1.0,1.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,5.0,0.8333,0.0,0.0,False
1.0,1.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,4.0,80.0,True
1.0,1.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,3.0,0.5,2.0,40.0,True
1.0,1.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,4.0,80.0,True
2.0,2.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,10.0,1.6667,0.0,0.0,False
2.0,2.0,1.0,Dynamic Statistical (MAD/Maha),2,1,5.0,0.8333,5.0,50.0,True
2.0,2.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,3.0,0.5,7.0,70.0,True
2.0,2.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,10.0,1.6667,0.0,0.0,False
2.0,2.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,9.0,90.0,True
2.0,2.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,5.0,0.8333,5.0,50.0,True
2.0,2.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,9.0,90.0,True
5.0,5.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,25.0,4.1667,0.0,0.0,False
5.0,5.0,1.0,Dynamic Statistical (MAD/Maha),2,1,11.0,1.8333,14.0,56.0,True
5.0,5.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,6.0,1.0,19.0,76.0,True
5.0,5.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,25.0,4.1667,0.0,0.0,False
5.0,5.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,24.0,96.0,True
5.0,5.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,11.0,1.8333,14.0,56.0,True
5.0,5.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,24.0,96.0,True
10.0,10.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,50.0,8.3333,0.0,0.0,False
10.0,10.0,1.0,Dynamic Statistical (MAD/Maha),2,1,21.0,3.5,29.0,58.0,True
10.0,10.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,11.0,1.8333,39.0,78.0,True
10.0,10.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,50.0,8.3333,0.0,0.0,False
10.0,10.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,49.0,98.0,True
10.0,10.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,21.0,3.5,29.0,58.0,True
10.0,10.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,49.0,98.0,True
20.0,20.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,100.0,16.6667,0.0,0.0,False
20.0,20.0,1.0,Dynamic Statistical (MAD/Maha),2,1,41.0,6.8333,59.0,59.0,True
20.0,20.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,21.0,3.5,79.0,79.0,True
20.0,20.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,100.0,16.6667,0.0,0.0,False
20.0,20.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,99.0,99.0,True
20.0,20.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,41.0,6.8333,59.0,59.0,True
20.0,20.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,99.0,99.0,True
50.0,50.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,250.0,41.6667,0.0,0.0,False
50.0,50.0,1.0,Dynamic Statistical (MAD/Maha),2,1,101.0,16.8333,149.0,59.6,True
50.0,50.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,51.0,8.5,199.0,79.6,True
50.0,50.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,250.0,41.6667,0.0,0.0,False
50.0,50.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,249.0,99.6,True
50.0,50.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,101.0,16.8333,149.0,59.6,True
50.0,50.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,249.0,99.6,True
100.0,100.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,500.0,83.3333,0.0,0.0,False
100.0,100.0,1.0,Dynamic Statistical (MAD/Maha),2,1,201.0,33.5,299.0,59.8,True
100.0,100.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,101.0,16.8333,399.0,79.8,True
100.0,100.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,500.0,83.3333,0.0,0.0,False
100.0,100.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,499.0,99.8,True
100.0,100.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,201.0,33.5,299.0,59.8,True
100.0,100.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,499.0,99.8,True
500.0,500.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,2500.0,416.6667,0.0,0.0,False
500.0,500.0,1.0,Dynamic Statistical (MAD/Maha),2,1,1001.0,166.8333,1499.0,59.96,True
500.0,500.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,501.0,83.5,1999.0,79.96,True
500.0,500.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,2500.0,416.6667,0.0,0.0,False
500.0,500.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,2499.0,99.96,True
500.0,500.0,1.0,Risk Fusion Engine (Multi-Tier),2,1,1001.0,166.8333,1499.0,59.96,True
500.0,500.0,1.0,Risk Fusion (incl. Quarantine Medium),0,1,1.0,0.1667,2499.0,99.96,True
1000.0,1000.0,1.0,Traditional (MIL-PRF-62F 20%),5,0,5000.0,833.3333,0.0,0.0,False
1000.0,1000.0,1.0,Dynamic Statistical (MAD/Maha),2,1,2001.0,333.5,2999.0,59.98,True
1000.0,1000.0,1.0,AI/ML Anomaly (One-Class SVM),1,1,1001.0,166.8333,3999.0,79.98,True
1000.0,1000.0,1.0,AI/ML Anomaly (Isolation Forest),5,0,5000.0,833.3333,0.0,0.0,False
1000.0,1000.0,1.0,Early Drift Forecast (194h),0,1,1.0,0.1667,4999.0,99.98,True
