category,method,metric,step4_reported_value,reproduced_value,difference,status,explanation
File Integrity,Filesystem,exists_traditional_predictions.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_statistical_predictions.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_anomaly_predictions.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_drift_predictions.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_risk_predictions.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_component_level_results.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_comparison.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_metrics.csv,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
File Integrity,Filesystem,exists_experiment_metadata.json,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Data Dimension,Master Panel,row_count,6.0000,6.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Data Dimension,Master Panel,component_ids,"['C1', 'C2', 'C3', 'C4', 'C5', 'C6']","['C1', 'C2', 'C3', 'C4', 'C5', 'C6']",0,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Ground Truth,Definition B,label_vector,"[0, 1, 1, 1, 1, 1]","[0, 1, 1, 1, 1, 1]",0,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Confusion Matrix,Traditional (MIL-PRF-62F 20%),true_positives,0.0000,0.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Confusion Matrix,Traditional (MIL-PRF-62F 20%),false_positives,0.0000,0.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Confusion Matrix,Traditional (MIL-PRF-62F 20%),false_negatives,5.0000,5.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Confusion Matrix,Traditional (MIL-PRF-62F 20%),true_negatives,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Performance Metric,Traditional (MIL-PRF-62F 20%),recall,0.0000,0.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Performance Metric,Traditional (MIL-PRF-62F 20%),false_negative_rate,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Performance Metric,Traditional (MIL-PRF-62F 20%),precision,0.0000,0.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Performance Metric,Traditional (MIL-PRF-62F 20%),f1_score,0.0000,0.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Performance Metric,Traditional (MIL-PRF-62F 20%),false_positive_rate,0.0000,0.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
Ranking Metric,Traditional (MIL-PRF-62F 20%),pr_auc,1.0000,1.0000,0.0000e+00,VERIFIED_EXACT_MATCH,Exact numerical match confirmed
